Date : 2024-05-21 02:36:00
Directory : c:\Users\Aaron\Documents\AeroTestBed\src
Total : 141 files,  6894 codes, 19319 comments, 3589 blanks, all 29802 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        140 |      6,866 |     19,319 |      3,577 |     29,762 |
| Python   |          1 |         28 |          0 |         12 |         40 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |        141 |      6,894 |     19,319 |      3,589 |     29,802 |
| . (Files)                                                                           |         14 |      1,229 |        636 |        513 |      2,378 |
| backup                                                                              |          1 |        322 |         39 |         87 |        448 |
| gui                                                                                 |          1 |         91 |          0 |         26 |        117 |
| include                                                                             |        123 |      5,224 |     18,644 |      2,950 |     26,818 |
| include (Files)                                                                     |         15 |        641 |        560 |        277 |      1,478 |
| include\SFML                                                                        |        107 |      4,518 |     18,082 |      2,657 |     25,257 |
| include\SFML (Files)                                                                |          9 |        229 |        357 |        149 |        735 |
| include\SFML\Audio                                                                  |         16 |        538 |      2,684 |        371 |      3,593 |
| include\SFML\Graphics                                                               |         30 |      1,219 |      6,866 |        810 |      8,895 |
| include\SFML\Network                                                                |         11 |        513 |      2,475 |        341 |      3,329 |
| include\SFML\System                                                                 |         25 |      1,364 |      3,591 |        681 |      5,636 |
| include\SFML\Window                                                                 |         16 |        655 |      2,109 |        305 |      3,069 |
| include\gui                                                                         |          1 |         65 |          2 |         16 |         83 |
| python                                                                              |          1 |         28 |          0 |         12 |         40 |
| shared                                                                              |          1 |          0 |          0 |          1 |          1 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                            | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Aaron\Documents\AeroTestBed\src\Hydraulics.cpp                             | C++      |        264 |        513 |        182 |        959 |
| c:\Users\Aaron\Documents\AeroTestBed\src\RungeKutta.cpp                             | C++      |         19 |          0 |          8 |         27 |
| c:\Users\Aaron\Documents\AeroTestBed\src\actuator.cpp                               | C++      |         46 |          6 |         25 |         77 |
| c:\Users\Aaron\Documents\AeroTestBed\src\aircraft.cpp                               | C++      |         25 |          0 |          6 |         31 |
| c:\Users\Aaron\Documents\AeroTestBed\src\backup\main_14.cpp                         | C++      |        322 |         39 |         87 |        448 |
| c:\Users\Aaron\Documents\AeroTestBed\src\engine_pump.cpp                            | C++      |         60 |          1 |         21 |         82 |
| c:\Users\Aaron\Documents\AeroTestBed\src\gui\gui.cpp                                | C++      |         91 |          0 |         26 |        117 |
| c:\Users\Aaron\Documents\AeroTestBed\src\hydromain.cpp                              | C++      |        101 |          8 |         25 |        134 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\RungeKutta.h                       | C++      |         12 |          0 |          4 |         16 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio.hpp                     | C++      |         17 |         33 |          7 |         57 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\AlResource.hpp          | C++      |         13 |         47 |         11 |         71 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\Export.hpp              | C++      |          9 |         29 |         11 |         49 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\InputSoundFile.hpp      | C++      |         40 |        196 |         28 |        264 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\Listener.hpp            | C++      |         23 |        191 |         21 |        235 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\Music.hpp               | C++      |         53 |        251 |         34 |        338 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\OutputSoundFile.hpp     | C++      |         21 |         95 |         18 |        134 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\Sound.hpp               | C++      |         33 |        203 |         29 |        265 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundBuffer.hpp         | C++      |         44 |        276 |         33 |        353 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundBufferRecorder.hpp | C++      |         23 |        105 |         17 |        145 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundFileFactory.hpp    | C++      |         44 |        131 |         23 |        198 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundFileFactory.inl    | C++      |         48 |         38 |         15 |        101 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundFileReader.hpp     | C++      |         23 |        127 |         16 |        166 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundFileWriter.hpp     | C++      |         15 |         98 |         13 |        126 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundRecorder.hpp       | C++      |         44 |        333 |         32 |        409 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundSource.hpp         | C++      |         42 |        257 |         34 |        333 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Audio\SoundStream.hpp         | C++      |         63 |        307 |         36 |        406 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Config.hpp                    | C++      |         84 |         82 |         71 |        237 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\GpuPreference.hpp             | C++      |         11 |         50 |         14 |         75 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics.hpp                  | C++      |         30 |         32 |          7 |         69 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\BlendMode.hpp        | C++      |         46 |        151 |         19 |        216 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\CircleShape.hpp      | C++      |         21 |        116 |         18 |        155 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Color.hpp            | C++      |         36 |        216 |         24 |        276 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\ConvexShape.hpp      | C++      |         20 |        117 |         17 |        154 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Drawable.hpp         | C++      |         17 |         95 |         15 |        127 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Export.hpp           | C++      |          9 |         29 |         11 |         49 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Font.hpp             | C++      |         72 |        329 |         39 |        440 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Glsl.hpp             | C++      |         40 |        159 |         29 |        228 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Glsl.inl             | C++      |         52 |         90 |         14 |        156 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Glyph.hpp            | C++      |         16 |         52 |         12 |         80 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Image.hpp            | C++      |         35 |        261 |         29 |        325 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\PrimitiveType.hpp    | C++      |         19 |         33 |          7 |         59 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Rect.hpp             | C++      |         33 |        199 |         23 |        255 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Rect.inl             | C++      |         90 |         40 |         30 |        160 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\RectangleShape.hpp   | C++      |         19 |         97 |         17 |        133 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\RenderStates.hpp     | C++      |         27 |        129 |         19 |        175 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\RenderTarget.hpp     | C++      |         70 |        396 |         45 |        511 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\RenderTexture.hpp    | C++      |         35 |        253 |         27 |        315 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\RenderWindow.hpp     | C++      |         25 |        240 |         20 |        285 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Shader.hpp           | C++      |         89 |        718 |         69 |        876 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Shape.hpp            | C++      |         49 |        271 |         36 |        356 |
| c:\Users\Aaron\Documents\AeroTestBed\src\include\SFML\Graphics\Sprite.hpp           | C++      |         34 |        219 |         27 |        280 |
